"","X.1","X","Date","open","high","low","close","volume","Open","High","Low","Close","Volume","macd","rsi","ulti","volatility","roc","dema","atr","cci","obv","wr"
"82",86,86,"2017-05-09",9337.35,9337.75,1,9317.3,134520942,9311.45,9338.6,1,9310.75,154994968,0.681097492600791,60.0007986127463,99.5897153603823,0.0853195529467398,0.00356675392315964,9327.96426866915,9337.6,66.0225844284571,4266548509,0.00680638605437633
"83",87,87,"2017-05-10",9339.65,9414.4,1,9412.45,149758266,9337.35,9337.75,1,9317.3,134520942,0.663217325600574,60.5221800223504,99.6281439558743,0.0696136828327669,0.000703240572141439,9330.3926432667,9336.75,61.8564546121982,4401069451,0.00610761131054937
"84",88,88,"2017-05-11",9448.6,9450.3,1,9412.4,169070256,9339.65,9414.4,1,9412.45,149758266,0.723278428579799,67.2088903653161,99.6600388834122,0.0860716798180066,0.0101603938712511,9363.03998020335,9413.4,120.033055294343,4550827717,0.000207151507425469
"85",89,89,"2017-05-12",9436.65,9436.85,1,9408.55,151328654,9448.6,9450.3,1,9412.4,169070256,0.761768474138647,67.2024488159081,99.6499841200226,0.0849918103341723,-5.31212732113318e-06,9386.51166922034,9449.3,119.543810752292,4381757461,0.00401087911273847
"86",90,90,"2017-05-15",9433.55,9449.05,1,9445.6,140786494,9436.65,9436.85,1,9408.55,151328654,0.779730201033946,66.6725583012505,99.6687587287376,0.0827967683233536,-0.000409118567734623,9401.80720751368,9435.85,103.162117609988,4230428807,0.00441831670070799
"87",91,91,"2017-05-16",9461,9517.1,1,9510.25,170050127,9433.55,9449.05,1,9445.6,140786494,0.816383498824291,69.1902437792307,99.675590021067,0.0840666442178693,0.00393017427890996,9424.51720562695,9448.05,115.210850695964,4371215301,0.000497391341157431
"88",92,92,"2017-05-17",9517.6,9532.2,1,9516.55,207352209,9461,9517.1,1,9510.25,170050127,0.890622682301467,73.02027270098,99.7536017643055,0.086327585659345,0.00682113971877918,9461.78861905396,9516.1,161.619749121101,4541265428,0.000719832704574391
"89",93,93,"2017-05-18",9453.2,9489.05,1,9423.75,206405694,9517.6,9532.2,1,9516.55,207352209,0.943561054938113,73.3677120264834,99.766201388151,0.0844294589551245,0.000662223834826392,9490.42357782562,9531.2,158.023256726942,4748617637,0.00164197582675859
"90",94,94,"2017-05-19",9469.9,9505.35,1,9435.4,238989568,9453.2,9489.05,1,9423.75,206405694,0.895195816426564,60.9222871654795,99.6879769404574,0.0897614481530796,-0.00979928962059518,9479.77843195126,9515.55,91.9871965384542,4542211943,0.0113784203458117
"91",95,95,"2017-05-22",9480.25,9498.6,1,9438,192520409,9469.9,9505.35,1,9435.4,238989568,0.856946067126096,61.7983780984918,99.6221238527433,0.0890887720363917,0.00123547471459595,9474.65140266507,9504.35,92.9010284339845,4781201511,0.0101561188517711
"92",96,96,"2017-05-23",9445.05,9448,1,9379.4,225696040,9480.25,9498.6,1,9438,192520409,0.819366062979054,62.0031168861954,99.5968055783369,0.0892391428451509,0.000275520045825317,9470.78119619531,9497.6,81.3199879388503,4973721920,0.00988333053550452
"93",97,97,"2017-05-24",9410.9,9431.75,1,9370.15,198943824,9445.05,9448,1,9379.4,225696040,0.730845097981359,54.8658870536709,99.5530369733574,0.0801425533095619,-0.00622829821682735,9447.73482008926,9447,20.647145285944,4748025880,0.0160315595098205
"94",98,98,"2017-05-25",9384.05,9522.7,1,9501.25,300236120,9410.9,9431.75,1,9370.15,198943824,0.645323631694117,53.8128802010516,99.4907402253374,0.0801627076472276,-0.000986690427286163,9426.99022715581,9430.75,1.83678920465447,4549082056,0.0170020564042304
"95",99,99,"2017-05-26",9507.75,9604.45,1,9580.9,221697874,9384.05,9522.7,1,9501.25,300236120,0.682203146778071,64.2773662922458,99.4965588816791,0.111448287622803,0.0138942642380311,9454.56317809604,9521.7,117.523992214798,4849318176,0.00324723014940414
"96",101,101,"2017-05-30",9590.65,9634.75,1,9625.85,178132701,9560.05,9637.5,1,9598.45,234570106,0.845290388691411,69.8139506603059,99.5385188915144,0.113224496952213,0.00183009381425947,9540.35704271791,9636.5,176.206638669958,5305586156,0.00405230114668181
"97",102,102,"2017-05-31",9636.55,9649.35,1,9625.7,492803293,9590.65,9634.75,1,9625.85,178132701,0.916891746535109,71.2507252734359,99.5899938481383,0.11360645339368,0.0028505608582563,9577.75202919888,9633.75,162.187664730838,5483718857,0.00120894515643643
"98",103,103,"2017-06-01",9603.55,9634.6,1,9616.6,165119728,9636.55,9649.35,1,9625.7,492803293,0.961984028650664,71.2307370044306,99.6245449091653,0.0929139578853082,-1.55831608381618e-05,9604.32546546468,9648.35,146.730589407765,4990915564,0.00245119631854147
"99",104,104,"2017-06-02",9657.15,9672.65,1,9642.35,146362127,9603.55,9634.6,1,9616.6,165119728,0.97838774608443,69.9487005810298,99.6731543032573,0.0944951098180961,-0.000945832949117431,9619.81262642065,9633.6,118.48742191321,4825795836,0.00339436276669068
"100",105,105,"2017-06-05",9656.3,9687.05,1,9676.45,150868754,9657.15,9672.65,1,9642.35,146362127,1.00139155819643,71.5112264070051,99.6936056108302,0.0938560668052589,0.00267408299458261,9638.58625891445,9671.65,126.149593245947,4972157963,0.00313286771130048
"101",106,106,"2017-06-06",9704.25,9706.3,1,9636.9,156774424,9656.3,9687.05,1,9676.45,150868754,1.03619630784979,73.4779058993961,99.7022528985624,0.078100468142734,0.00353024363983323,9662.55088037181,9686.05,129.728819462378,5123026717,0.00109435734897079
